
KimotoSumizomeのAの獲得スコア, KimotoSumizomeのBの獲得スコア, SampleTeamのAの獲得スコア, SampleTeamのBの獲得スコア
0, 0, 0, 0
0, 0, 0, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 1, 0
